ticker,manager_count,managers,total_shares,total_value,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,earliest_report_date,latest_report_date
CMCSA,10,"Brave Warrior Advisors, Gardner Russo & Quinn, First Eagle Investment Management, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Dodge & Cox, FPA Crescent Fund, Olstein Capital Management, Hillman Value Fund",110173127,4065272000.0,0.0,0,0.0,2025-07-07,2025-07-07
INTU,10,"Lone Pine Capital, Valley Forge Capital Management, Viking Global Investors, ShawSpring Partners, Fundsmith, Lindsell Train, AKO Capital, Jensen Investment Management, Markel Group, Matrix Asset Advisors",5885523,3613651000.0,0.0,0,0.0,2025-07-07,2025-07-07
NVDA,10,"Maverick Capital, Appaloosa Management, Third Point, H&H International Investment, Viking Global Investors, Tiger Global Management, Causeway Capital Management, Patient Capital Management, Matrix Asset Advisors, Mairs & Power Growth Fund",26763466,2900625000.0,0.0,0,0.0,2025-07-07,2025-07-07
EFX,10,"Oakmark Select Fund, Valley Forge Capital Management, Fundsmith, Lindsell Train, AKO Capital, Jensen Investment Management, Cantillon Capital Management, Markel Group, Weitz Large Cap Equity Fund, Olstein Capital Management",5412564,1318283000.0,0.0,0,0.0,2025-07-07,2025-07-07
JNJ,10,"Ariel Focus Fund, Fairfax Financial Holdings, Jensen Investment Management, Torray Funds, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Tweedy Browne Value Fund, Mairs & Power Growth Fund, Olstein Capital Management",3322149,550948000.0,0.0,0,0.0,2025-07-07,2025-07-07
PM,9,"Lone Pine Capital, Maverick Capital, Viking Global Investors, Fundsmith, Gardner Russo & Quinn, First Eagle Investment Management, Markel Group, Yacktman Asset Management, Matrix Asset Advisors",32686616,5188347000.0,0.0,0,0.0,2025-07-07,2025-07-07
FLUT,9,"Lone Pine Capital, Maverick Capital, Third Point, Viking Global Investors, Tiger Global Management, Makaira Partners, AKO Capital, Cantillon Capital Management, Egerton Capital",16578937,3670864000.0,0.0,0,0.0,2025-07-07,2025-07-07
AON,9,"Berkshire Hathaway, Polen Capital Management, Jensen Investment Management, Cantillon Capital Management, Markel Group, Yacktman Asset Management, Weitz Large Cap Equity Fund, Matrix Asset Advisors, FPA Crescent Fund",9120796,3640020000.0,0.0,0,0.0,2025-07-07,2025-07-07
NKE,9,"Semper Augustus, Viking Global Investors, Fundsmith, Lindsell Train, Polen Capital Management, Jensen Investment Management, Markel Group, Olstein Capital Management, Hillman Value Fund",14631849,929618000.0,0.0,0,0.0,2025-07-07,2025-07-07
PEP,9,"Kahn Brothers Group, Lindsell Train, Gardner Russo & Quinn, First Eagle Investment Management, Jensen Investment Management, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Olstein Capital Management",5969076,895003000.0,0.0,0,0.0,2025-07-07,2025-07-07
