ticker,total_activities,managers_holding,total_buy_impact,total_sell_impact,net_activity_score,avg_portfolio_impact,days_tracked,recent_activity_count,recent_net_activity,performance_category,period_start,period_end,top_3_managers
NVDA,42,11,0.0,0.0,0.0,1.9238095238095236,0,42,0.0,Neutral,2025-07-07,2025-07-07,Wedgewood Partners; Appaloosa Management; Mairs & Power Growth Fund
HAYW,3,2,0.0,0.0,0.0,0.8733333333333334,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Cantillon Capital Management
ADEA,1,1,0.0,0.0,0.0,0.76,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
VSEC,2,1,0.0,0.0,0.0,0.6699999999999999,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AGR-OLD,3,1,0.0,0.0,0.0,1.0799999999999998,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
GFS,3,1,0.0,0.0,0.0,1.1966666666666665,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
PDFS,2,1,0.0,0.0,0.0,0.97,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ALGN,5,3,0.0,0.0,0.0,1.0079999999999998,0,5,0.0,Neutral,2025-07-07,2025-07-07,Polen Capital Management; Meridian Contrarian Fund; Third Point
HE,4,2,0.0,0.0,0.0,1.0975,0,4,0.0,Neutral,2025-07-07,2025-07-07,ValueAct Capital; Meridian Contrarian Fund
DRVN,3,1,0.0,0.0,0.0,1.3999999999999997,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
FIBK,2,1,0.0,0.0,0.0,1.41,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SAM,4,2,0.0,0.0,0.0,0.61,0,4,0.0,Neutral,2025-07-07,2025-07-07,Egerton Capital; Meridian Contrarian Fund
YOU,1,1,0.0,0.0,0.0,0.52,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
PACK,1,1,0.0,0.0,0.0,0.57,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ACHC,9,3,0.0,0.0,0.0,0.9666666666666666,0,9,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Maverick Capital; Viking Global Investors
GOOS,7,3,0.0,0.0,0.0,1.552857142857143,0,7,0.0,Neutral,2025-07-07,2025-07-07,Patient Capital Management; Miller Value Partners; Meridian Contrarian Fund
CBRL,4,2,0.0,0.0,0.0,0.655,0,4,0.0,Neutral,2025-07-07,2025-07-07,Olstein Capital Management; Meridian Contrarian Fund
MU,74,14,0.0,0.0,0.0,5.598108108108108,0,74,0.0,Neutral,2025-07-07,2025-07-07,Appaloosa Management; Pabrai Investments; Fairfax Financial Holdings
TCBI,2,1,0.0,0.0,0.0,0.8799999999999999,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
PRGO,19,4,0.0,0.0,0.0,1.577894736842105,0,19,0.0,Neutral,2025-07-07,2025-07-07,Greenlight Capital; Meridian Contrarian Fund; Sequoia Fund
QDEL,3,2,0.0,0.0,0.0,1.1066666666666667,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Maverick Capital
UVE,1,1,0.0,0.0,0.0,0.62,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AIG,76,12,0.0,0.0,0.0,3.3922368421052633,0,76,0.0,Neutral,2025-07-07,2025-07-07,Fairholme Capital; Hancock Classic Value; FPA Crescent Fund
NEM,8,2,0.0,0.0,0.0,1.26125,0,8,0.0,Neutral,2025-07-07,2025-07-07,Semper Augustus; Meridian Contrarian Fund
UNVR-OLD,23,6,0.0,0.0,0.0,2.8500000000000005,0,23,0.0,Neutral,2025-07-07,2025-07-07,Atlantic Investment Management; Meridian Contrarian Fund; TCI Fund Management
MBLY,2,1,0.0,0.0,0.0,1.27,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
FPI,2,1,0.0,0.0,0.0,1.0,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
NTST,3,1,0.0,0.0,0.0,0.92,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
PETS,2,1,0.0,0.0,0.0,0.565,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ON,9,2,0.0,0.0,0.0,0.7177777777777777,0,9,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Olstein Capital Management
TRMB,4,3,0.0,0.0,0.0,1.1475,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Sequoia Fund; Causeway Capital Management
LASR,1,1,0.0,0.0,0.0,0.54,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AXS,10,3,0.0,0.0,0.0,1.033,0,10,0.0,Neutral,2025-07-07,2025-07-07,Hancock Classic Value; Causeway Capital Management; Meridian Contrarian Fund
CHNG-OLD,17,4,0.0,0.0,0.0,2.8594117647058823,0,17,0.0,Neutral,2025-07-07,2025-07-07,Abrams Capital Management; Meridian Contrarian Fund; Greenlight Capital
CMA,11,2,0.0,0.0,0.0,1.0036363636363637,0,11,0.0,Neutral,2025-07-07,2025-07-07,Third Avenue Management; Meridian Contrarian Fund
PLAB,4,1,0.0,0.0,0.0,0.9450000000000001,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
MATX,8,3,0.0,0.0,0.0,0.7937500000000001,0,8,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; FPA Queens Road Small Cap Value Fund; Pershing Square Capital Management
CTRA,15,4,0.0,0.0,0.0,1.7779999999999998,0,15,0.0,Neutral,2025-07-07,2025-07-07,Sound Shore; Leon Cooperman; Meridian Contrarian Fund
APG,10,4,0.0,0.0,0.0,1.094,0,10,0.0,Neutral,2025-07-07,2025-07-07,Viking Global Investors; Greenlight Capital; Meridian Contrarian Fund
FTDR,4,1,0.0,0.0,0.0,0.8025,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
RMBL,2,1,0.0,0.0,0.0,0.78,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AQUA-OLD,2,1,0.0,0.0,0.0,0.8999999999999999,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
NWL,20,4,0.0,0.0,0.0,1.4125,0,20,0.0,Neutral,2025-07-07,2025-07-07,Ariel Focus Fund; Hancock Classic Value; Meridian Contrarian Fund
SGHT,1,1,0.0,0.0,0.0,0.59,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
USB,26,7,0.0,0.0,0.0,1.9634615384615384,0,26,0.0,Neutral,2025-07-07,2025-07-07,Brave Warrior Advisors; Fairfax Financial Holdings; Viking Global Investors
SBH,2,1,0.0,0.0,0.0,1.26,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
WMS,3,1,0.0,0.0,0.0,0.8033333333333333,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ALIT,13,4,0.0,0.0,0.0,1.3507692307692307,0,13,0.0,Neutral,2025-07-07,2025-07-07,Greenlight Capital; Third Point; Appaloosa Management
ZUO-OLD,1,1,0.0,0.0,0.0,1.04,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
LUCK,1,1,0.0,0.0,0.0,1.06,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SWTX-OLD,2,2,0.0,0.0,0.0,1.22,0,2,0.0,Neutral,2025-07-07,2025-07-07,Maverick Capital; Meridian Contrarian Fund
FHN,4,2,0.0,0.0,0.0,1.4900000000000002,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Greenlight Capital
MNRO,6,2,0.0,0.0,0.0,1.1066666666666667,0,6,0.0,Neutral,2025-07-07,2025-07-07,Akre Capital Management; Meridian Contrarian Fund
MMSI,2,2,0.0,0.0,0.0,1.705,0,2,0.0,Neutral,2025-07-07,2025-07-07,Maverick Capital; Meridian Contrarian Fund
ALGM,2,1,0.0,0.0,0.0,0.6,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ORIC,1,1,0.0,0.0,0.0,0.78,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
RKLB,3,2,0.0,0.0,0.0,3.3000000000000007,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Scion Asset Management
CGNT,3,1,0.0,0.0,0.0,0.7399999999999999,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
CVA,3,1,0.0,0.0,0.0,1.57,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
THS,9,3,0.0,0.0,0.0,1.7455555555555555,0,9,0.0,Neutral,2025-07-07,2025-07-07,FPA Queens Road Small Cap Value Fund; Wedgewood Partners; Meridian Contrarian Fund
NWN,2,1,0.0,0.0,0.0,1.58,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
TDS,7,4,0.0,0.0,0.0,1.364285714285714,0,7,0.0,Neutral,2025-07-07,2025-07-07,Third Point; Longleaf Partners; Meridian Contrarian Fund
SABR,4,2,0.0,0.0,0.0,1.6875,0,4,0.0,Neutral,2025-07-07,2025-07-07,Sound Shore; Meridian Contrarian Fund
XEC,10,2,0.0,0.0,0.0,2.139,0,10,0.0,Neutral,2025-07-07,2025-07-07,FPA Queens Road Small Cap Value Fund; Meridian Contrarian Fund
LEA,33,5,0.0,0.0,0.0,2.1954545454545453,0,33,0.0,Neutral,2025-07-07,2025-07-07,Greenhaven Associates; Atlantic Investment Management; Hancock Classic Value
PENN,5,3,0.0,0.0,0.0,1.8439999999999999,0,5,0.0,Neutral,2025-07-07,2025-07-07,Greenlight Capital; Meridian Contrarian Fund; Akre Capital Management
WFC,127,26,0.0,0.0,0.0,1.9225984251968504,0,127,0.0,Neutral,2025-07-07,2025-07-07,Fairfax Financial Holdings; Davis Advisors; Tweedy Browne Value Fund
PRPL,2,1,0.0,0.0,0.0,0.98,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SUMO-OLD,1,1,0.0,0.0,0.0,0.51,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
WBT-OLD,8,3,0.0,0.0,0.0,2.7899999999999996,0,8,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Abrams Capital Management; Icahn Capital Management
NUAN-OLD,11,4,0.0,0.0,0.0,1.3172727272727274,0,11,0.0,Neutral,2025-07-07,2025-07-07,Icahn Capital Management; Meridian Contrarian Fund; Baupost Group
NFG,3,1,0.0,0.0,0.0,1.0033333333333334,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SRCL-OLD,18,4,0.0,0.0,0.0,1.4800000000000002,0,18,0.0,Neutral,2025-07-07,2025-07-07,Hillman Value Fund; Meridian Contrarian Fund; Ariel Appreciation Fund
TEVA,25,7,0.0,0.0,0.0,3.0063999999999997,0,25,0.0,Neutral,2025-07-07,2025-07-07,Miller Value Partners; Meridian Contrarian Fund; Sound Shore
HUN,27,4,0.0,0.0,0.0,3.6744444444444446,0,27,0.0,Neutral,2025-07-07,2025-07-07,Atlantic Investment Management; Meridian Contrarian Fund; Yacktman Asset Management
NOMD,11,3,0.0,0.0,0.0,1.7536363636363637,0,11,0.0,Neutral,2025-07-07,2025-07-07,Pershing Square Capital Management; Meridian Contrarian Fund; Atlantic Investment Management
TLIS,1,1,0.0,0.0,0.0,0.71,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
VWESQ-OLD,1,1,0.0,0.0,0.0,0.5,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
VRNT,5,2,0.0,0.0,0.0,1.08,0,5,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Baupost Group
RNR,9,4,0.0,0.0,0.0,1.8644444444444446,0,9,0.0,Neutral,2025-07-07,2025-07-07,Egerton Capital; Torray Funds; Meridian Contrarian Fund
HBI,4,2,0.0,0.0,0.0,1.335,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Scion Asset Management
BTWNU,2,1,0.0,0.0,0.0,0.57,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
VCTR,1,1,0.0,0.0,0.0,0.55,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SPRU,2,1,0.0,0.0,0.0,0.53,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AEGN,2,1,0.0,0.0,0.0,0.52,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
JWN-OLD,25,4,0.0,0.0,0.0,1.6976,0,25,0.0,Neutral,2025-07-07,2025-07-07,Ariel Appreciation Fund; Hillman Value Fund; Meridian Contrarian Fund
LEGN,1,1,0.0,0.0,0.0,0.53,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
IMMU,2,1,0.0,0.0,0.0,1.7,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
DOC-OLD,1,1,0.0,0.0,0.0,1.86,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SEIC,1,1,0.0,0.0,0.0,1.7,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
STT,8,4,0.0,0.0,0.0,1.19375,0,8,0.0,Neutral,2025-07-07,2025-07-07,Hancock Classic Value; Yacktman Asset Management; Meridian Contrarian Fund
STC,2,1,0.0,0.0,0.0,1.46,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
PCH,1,1,0.0,0.0,0.0,1.28,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ELAN,6,2,0.0,0.0,0.0,1.3433333333333335,0,6,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Sound Shore
ABM,2,2,0.0,0.0,0.0,1.04,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Olstein Capital Management
KW,5,2,0.0,0.0,0.0,4.9239999999999995,0,5,0.0,Neutral,2025-07-07,2025-07-07,Fairfax Financial Holdings; Meridian Contrarian Fund
PII,1,1,0.0,0.0,0.0,0.96,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
PIC-OLD,1,1,0.0,0.0,0.0,0.78,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
HL,2,1,0.0,0.0,0.0,0.54,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
NGA.U,1,1,0.0,0.0,0.0,0.66,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AMSC,1,1,0.0,0.0,0.0,0.65,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
SBNY,4,2,0.0,0.0,0.0,1.4775,0,4,0.0,Neutral,2025-07-07,2025-07-07,FPA Crescent Fund; Meridian Contrarian Fund
CFG,4,3,0.0,0.0,0.0,1.0999999999999999,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Olstein Capital Management; Appaloosa Management
TERP,4,3,0.0,0.0,0.0,1.7625000000000002,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Appaloosa Management; Aquamarine Capital
CSL,3,2,0.0,0.0,0.0,0.8999999999999999,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Tweedy Browne Value Fund
SWCH-OLD,1,1,0.0,0.0,0.0,1.49,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
MHK,44,13,0.0,0.0,0.0,1.3679545454545456,0,44,0.0,Neutral,2025-07-07,2025-07-07,Sequoia Fund; Ariel Focus Fund; Sound Shore
EOG,23,6,0.0,0.0,0.0,1.2813043478260866,0,23,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Sound Shore; Meridian Contrarian Fund
MNDT-OLD,1,1,0.0,0.0,0.0,0.73,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
CAE,1,1,0.0,0.0,0.0,0.6,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
AXDXQ,1,1,0.0,0.0,0.0,0.53,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
