,manager,ticker,company,portfolio_pct,price,shares,position_value,cap_category,sector,gain_loss_pct
1133,Glenn Welling - Engaged Capital,PTLO,,16.61,0.0,0,0.0,Unknown,Consumer Cyclical,0
28,Alex Roepers - Atlantic Investment Management,GTLS,,16.57,0.0,0,0.0,Unknown,Industrial Goods,0
1259,Howard Marks - Oaktree Capital Management,TRMD,,16.39,0.0,0,0.0,Unknown,Industrials,0
3114,Warren Buffett - Berkshire Hathaway,BATRK,,16.22,0.0,0,0.0,Unknown,Services,0
198,Chase Coleman - Tiger Global Management,META,,16.18,0.0,0,0.0,Unknown,Technology,0
2082,Prem Watsa - Fairfax Financial Holdings,OXY,,16.12,0.0,0,0.0,Unknown,Energy,0
3081,Warren Buffett - Berkshire Hathaway,AXP,,15.77,0.0,0,0.0,Unknown,Financials,0
1097,Glenn Greenberg - Brave Warrior Advisors,ELV,,15.72,0.0,0,0.0,Unknown,Health Care,0
149,Bryan Lawrence - Oakcliff Capital,TDG,,15.52,0.0,0,0.0,Unknown,Industrial Goods,0
1260,Howard Marks - Oaktree Capital Management,EXE,,15.31,0.0,0,0.0,Unknown,Energy,0
137,Bruce Berkowitz - Fairholme Capital,EPD,,15.31,0.0,0,0.0,Unknown,Materials,0
1953,Pat Dorsey - Dorsey Asset Management,AZO,,15.17,0.0,0,0.0,Unknown,Consumer Discretionary,0
1954,Pat Dorsey - Dorsey Asset Management,META,,15.09,0.0,0,0.0,Unknown,Technology,0
3219,Yacktman Asset Management,CATO,,15.02,0.0,0,0.0,Unknown,Consumer Discretionary,0
